TIME	TEMP
2015-1-12T23:17:18Z	4.250
2015-1-12T23:17:29Z	4.250
2015-1-12T23:17:40Z	4.250
2015-1-12T23:17:51Z	4.313
2015-1-12T23:18:2Z	4.313
2015-1-12T23:18:13Z	4.250
2015-1-12T23:18:25Z	4.313
2015-1-12T23:18:36Z	4.313
2015-1-12T23:18:47Z	4.313
2015-1-12T23:18:58Z	4.375
2015-1-12T23:19:9Z	4.375
2015-1-12T23:19:20Z	4.375
2015-1-12T23:19:31Z	4.375
2015-1-12T23:19:42Z	4.375
2015-1-12T23:19:53Z	4.375
2015-1-12T23:20:4Z	4.375
2015-1-12T23:20:15Z	4.313
2015-1-12T23:20:26Z	4.375
2015-1-12T23:20:37Z	4.313
2015-1-12T23:20:48Z	4.313
2015-1-12T23:21:0Z	4.313
2015-1-12T23:21:11Z	4.313
2015-1-12T23:21:22Z	4.313
2015-1-12T23:21:33Z	4.250
2015-1-12T23:21:44Z	4.250
2015-1-12T23:21:55Z	4.250
2015-1-12T23:22:6Z	4.250
2015-1-12T23:22:17Z	4.250
2015-1-12T23:22:28Z	4.188
2015-1-12T23:22:39Z	4.250
2015-1-12T23:22:50Z	4.250
2015-1-12T23:23:1Z	4.188
2015-1-12T23:23:12Z	4.188
2015-1-12T23:23:23Z	4.188
2015-1-12T23:23:35Z	4.125
2015-1-12T23:23:46Z	4.188
2015-1-12T23:23:57Z	4.125
2015-1-12T23:24:8Z	4.188
2015-1-12T23:24:19Z	4.188
2015-1-12T23:24:30Z	4.188
2015-1-12T23:24:41Z	4.188
2015-1-12T23:24:52Z	4.125
2015-1-12T23:25:3Z	4.125
2015-1-12T23:25:14Z	4.125
2015-1-12T23:25:25Z	4.125
2015-1-12T23:25:36Z	4.125
2015-1-12T23:25:47Z	4.125
2015-1-12T23:25:58Z	4.125
2015-1-12T23:26:10Z	4.125
2015-1-12T23:26:21Z	4.188
2015-1-12T23:26:32Z	4.188
2015-1-12T23:26:43Z	4.188
2015-1-12T23:26:54Z	4.188
2015-1-12T23:27:5Z	4.188
2015-1-12T23:27:16Z	4.188
2015-1-12T23:27:27Z	4.188
2015-1-12T23:27:38Z	4.188
2015-1-12T23:27:49Z	4.188
2015-1-12T23:28:0Z	4.250
2015-1-12T23:28:11Z	4.250
2015-1-12T23:28:22Z	4.188
2015-1-12T23:28:33Z	4.188
2015-1-12T23:28:45Z	4.188
2015-1-12T23:28:56Z	4.188
2015-1-12T23:29:7Z	4.125
2015-1-12T23:29:18Z	4.125
2015-1-12T23:29:29Z	4.188
2015-1-12T23:29:40Z	4.125
2015-1-12T23:29:51Z	4.125
2015-1-12T23:30:2Z	4.125
2015-1-12T23:30:13Z	4.125
2015-1-12T23:30:24Z	4.063
2015-1-12T23:30:35Z	4.063
2015-1-12T23:30:46Z	4.125
2015-1-12T23:30:57Z	4.063
2015-1-12T23:31:8Z	4.125
2015-1-12T23:31:20Z	4.125
2015-1-12T23:31:31Z	4.125
2015-1-12T23:31:42Z	4.313
2015-1-12T23:31:53Z	4.500
2015-1-12T23:32:4Z	4.563
2015-1-12T23:32:15Z	4.563
2015-1-12T23:32:26Z	4.500
2015-1-12T23:32:37Z	4.563
2015-1-12T23:32:48Z	4.563
2015-1-12T23:32:59Z	4.563
2015-1-12T23:33:11Z	4.563
2015-1-12T23:33:22Z	4.563
2015-1-12T23:33:33Z	4.563
2015-1-12T23:33:44Z	4.500
2015-1-12T23:33:55Z	4.500
2015-1-12T23:34:6Z	4.500
2015-1-12T23:34:17Z	4.438
2015-1-12T23:34:28Z	4.375
2015-1-12T23:34:39Z	4.375
2015-1-12T23:34:50Z	4.375
2015-1-12T23:35:1Z	4.313
2015-1-12T23:35:12Z	4.313
2015-1-12T23:35:23Z	4.313
2015-1-12T23:35:34Z	4.313
2015-1-12T23:35:45Z	4.313
2015-1-12T23:35:57Z	4.313
2015-1-12T23:36:8Z	4.313
2015-1-12T23:36:19Z	4.313
2015-1-12T23:36:30Z	4.313
2015-1-12T23:36:41Z	4.313
2015-1-12T23:36:52Z	4.313
2015-1-12T23:37:3Z	4.313
2015-1-12T23:37:14Z	4.313
2015-1-12T23:37:25Z	4.313
2015-1-12T23:37:36Z	4.313
2015-1-12T23:37:47Z	4.250
2015-1-12T23:37:58Z	4.250
2015-1-12T23:38:9Z	4.250
2015-1-12T23:38:20Z	4.250
2015-1-12T23:38:32Z	4.250
2015-1-12T23:38:43Z	4.250
2015-1-12T23:38:54Z	4.188
2015-1-12T23:39:5Z	4.188
2015-1-12T23:39:16Z	4.125
2015-1-12T23:39:27Z	4.063
2015-1-12T23:39:38Z	4.063
2015-1-12T23:39:49Z	4.063
2015-1-12T23:40:0Z	4.063
2015-1-12T23:40:11Z	4.125
2015-1-12T23:40:22Z	4.125
2015-1-12T23:40:33Z	4.125
2015-1-12T23:40:44Z	4.188
2015-1-12T23:40:55Z	4.188
2015-1-12T23:41:6Z	4.125
2015-1-12T23:41:18Z	4.125
2015-1-12T23:41:29Z	4.125
2015-1-12T23:41:40Z	4.125
2015-1-12T23:41:51Z	4.063
2015-1-12T23:42:2Z	4.063
2015-1-12T23:42:13Z	4.063
2015-1-12T23:42:24Z	4.063
2015-1-12T23:42:35Z	4.063
2015-1-12T23:42:46Z	4.125
2015-1-12T23:42:57Z	4.125
2015-1-12T23:43:8Z	4.063
2015-1-12T23:43:19Z	4.125
2015-1-12T23:43:30Z	4.125
2015-1-12T23:43:41Z	4.125
2015-1-12T23:43:52Z	4.125
2015-1-12T23:44:4Z	4.125
2015-1-12T23:44:15Z	4.125
2015-1-12T23:44:26Z	4.063
2015-1-12T23:44:37Z	4.063
2015-1-12T23:44:48Z	4.063
2015-1-12T23:44:59Z	4.063
2015-1-12T23:45:10Z	4.063
2015-1-12T23:45:21Z	4.063
2015-1-12T23:45:32Z	4.125
2015-1-12T23:45:43Z	4.125
2015-1-12T23:45:54Z	4.125
2015-1-12T23:46:5Z	4.063
2015-1-12T23:46:16Z	4.063
2015-1-12T23:46:27Z	4.063
2015-1-12T23:46:38Z	4.000
2015-1-12T23:46:50Z	4.000
2015-1-12T23:47:1Z	4.000
2015-1-12T23:47:12Z	4.000
2015-1-12T23:47:23Z	4.000
2015-1-12T23:47:34Z	4.000
2015-1-12T23:47:45Z	3.937
2015-1-12T23:47:56Z	4.000
2015-1-12T23:48:7Z	4.000
2015-1-12T23:48:18Z	4.000
2015-1-12T23:48:29Z	3.937
2015-1-12T23:48:40Z	4.000
2015-1-12T23:48:51Z	4.000
