ñÛúˆçÎíıúÌ°¸´Òù¿ñÀ´Òàƒñ…âƒ–ËòÓ´˜ñŸîÈñÈîÈúÌ– –÷úÌàƒíÌñ—ñÎúÔñÎ–™¡”í—åÔîÎ“ãí—çÔñÎ–´ñ—úÔ–´•¯·”Hello!
Measuring voltage and current with INA219 ...
BUS_V	SHUNT_MV	LOAD_V	CURRENT_MA
8.11	3.36	8.12	33.80
8.12	3.39	8.12	33.60
8.12	3.35	8.12	33.50
8.11	3.39	8.12	33.70
8.11	3.38	8.12	33.80
8.12	3.38	8.12	33.70
8.11	3.35	8.12	33.60
8.11	3.36	8.12	33.60
8.11	3.37	8.12	33.60
8.11	3.36	8.12	33.80
8.11	3.39	8.12	34.00
8.11	3.37	8.12	33.90
8.11	3.38	8.12	33.40
8.11	3.37	8.12	33.70
8.11	3.40	8.11	33.80
8.08	5.09	8.09	51.00
8.07	5.12	8.08	51.20
8.08	5.10	8.08	51.00
8.07	5.11	8.08	50.90
8.07	5.09	8.07	50.90
8.07	5.09	8.07	50.90
8.07	5.08	8.07	50.80
8.07	5.08	8.07	50.80
8.07	5.06	8.07	50.60
8.07	5.05	8.07	50.80
8.07	5.05	8.07	50.90
8.06	5.09	8.07	50.80
8.07	5.04	8.07	50.70
8.07	5.07	8.07	50.50
8.07	5.08	8.07	50.50
8.07	5.06	8.07	50.50
8.07	5.06	8.07	50.50
8.07	5.05	8.07	50.50
8.06	5.07	8.07	50.40
8.07	5.03	8.07	50.20
8.06	5.06	8.07	37.90
8.10	3.37	8.10	33.70
8.10	3.39	8.11	33.70
8.10	3.39	8.11	33.50
8.10	3.38	8.11	33.90
8.10	3.34	8.11	33.70
8.11	3.36	8.11	33.40
8.11	3.37	8.11	33.60
8.10	3.38	8.11	33.90
8.11	3.37	8.11	33.60
8.11	3.39	8.11	33.60
8.11	3.37	8.11	33.80
8.11	3.37	8.11	33.60
8.10	3.35	8.11	34.00
8.11	3.37	8.11	33.90
8.10	3.38	8.11	33.30
8.11	3.38	8.11	33.70
8.11	3.37	8.11	33.60
8.10	3.35	8.11	33.70
8.10	3.35	8.11	33.80
8.11	3.39	8.11	33.90
8.11	3.36	8.11	33.80
8.11	3.37	8.11	33.70
8.11	3.36	8.11	33.90
8.11	3.36	8.11	33.90
8.11	3.37	8.11	33.50
8.11	3.35	8.11	33.70
8.11	3.38	8.12	33.70
8.11	3.38	8.11	33.60
8.11	3.35	8.11	33.90
8.11	3.37	8.11	33.50
8.11	3.38	8.11	33.70
8.11	3.36	8.11	33.70
